embryonic_score,celltype,condition,x_group,color_cond
-0.11895446424278901,All fibroblasts,Control,CTRL,Control
-0.02837595542999679,All fibroblasts,Control,CTRL,Control
-0.04061355860142009,All fibroblasts,Control,CTRL,Control
-0.24127716000809052,All fibroblasts,Control,CTRL,Control
-0.06874999856016911,All fibroblasts,Control,CTRL,Control
-0.04712408787706021,All fibroblasts,Control,CTRL,Control
-0.08075180550136832,All fibroblasts,Control,CTRL,Control
-0.08858569210383048,All fibroblasts,Control,CTRL,Control
-0.10375906514392778,All fibroblasts,Control,CTRL,Control
-0.10924520759627797,All fibroblasts,Control,CTRL,Control
-0.11963121655719242,All fibroblasts,Control,CTRL,Control
-0.04381697396384815,All fibroblasts,Control,CTRL,Control
-0.12122882380579554,All fibroblasts,Control,CTRL,Control
-0.343575041171608,All fibroblasts,Control,CTRL,Control
-0.035054414331241214,All fibroblasts,Control,CTRL,Control
-0.2712161104350602,All fibroblasts,Control,CTRL,Control
0.0024012702442323675,All fibroblasts,Control,CTRL,Control
-0.06496340018386892,All fibroblasts,Control,CTRL,Control
-0.16852125643506483,All fibroblasts,Control,CTRL,Control
-0.0958385695367666,All fibroblasts,Control,CTRL,Control
-0.021249406981379795,All fibroblasts,Control,CTRL,Control
-0.017535055530508985,All fibroblasts,Control,CTRL,Control
-0.21885182727494157,All fibroblasts,Control,CTRL,Control
-0.0743602109720512,All fibroblasts,Control,CTRL,Control
-0.05846951032928399,All fibroblasts,Control,CTRL,Control
-0.06791430133454308,All fibroblasts,Control,CTRL,Control
-0.1390966387843571,All fibroblasts,Control,CTRL,Control
0.13072715900290913,All fibroblasts,Control,CTRL,Control
-0.08930999869278933,All fibroblasts,Control,CTRL,Control
-0.10374259447778489,All fibroblasts,Control,CTRL,Control
-0.0674261643392812,All fibroblasts,Control,CTRL,Control
-0.03185066947528588,All fibroblasts,Control,CTRL,Control
-0.1077805968064294,All fibroblasts,Control,CTRL,Control
-0.10903252814901926,All fibroblasts,Control,CTRL,Control
-0.1324245625950976,All fibroblasts,Control,CTRL,Control
0.14355443638686569,All fibroblasts,Control,CTRL,Control
0.02513959454431549,All fibroblasts,Control,CTRL,Control
-0.26513357381227387,All fibroblasts,Control,CTRL,Control
-0.12715443040423008,All fibroblasts,Control,CTRL,Control
-0.09698364382978422,All fibroblasts,Control,CTRL,Control
0.06246128799613894,All fibroblasts,Control,CTRL,Control
-0.19069596863232485,All fibroblasts,Control,CTRL,Control
-0.16105222778657274,All fibroblasts,Control,CTRL,Control
-0.20381051323063148,All fibroblasts,Control,CTRL,Control
-0.038755145055563045,All fibroblasts,Control,CTRL,Control
0.05821655904349861,All fibroblasts,Control,CTRL,Control
-0.09275053531089081,All fibroblasts,Control,CTRL,Control
-0.094803286849759,All fibroblasts,Control,CTRL,Control
-0.1227612817918975,All fibroblasts,Control,CTRL,Control
-0.02689138880708476,All fibroblasts,Control,CTRL,Control
-0.07841261512969658,All fibroblasts,Control,CTRL,Control
-0.03344711103387925,All fibroblasts,Control,CTRL,Control
-0.08069081527494872,All fibroblasts,Control,CTRL,Control
-0.07343018105868607,All fibroblasts,Control,CTRL,Control
0.03376066745027529,All fibroblasts,Control,CTRL,Control
-0.07183986398491993,All fibroblasts,Control,CTRL,Control
-0.12855399159554878,All fibroblasts,Control,CTRL,Control
-0.24063165571438624,All fibroblasts,Control,CTRL,Control
-0.16522832525447612,All fibroblasts,Control,CTRL,Control
-0.30679053274555296,All fibroblasts,Control,CTRL,Control
-0.0760620781984284,All fibroblasts,Control,CTRL,Control
-0.1411062288179395,All fibroblasts,Control,CTRL,Control
-0.10497278588456652,All fibroblasts,Control,CTRL,Control
-0.06649337683236672,All fibroblasts,Control,CTRL,Control
-0.15898169393343392,All fibroblasts,Control,CTRL,Control
-0.04333996515237657,All fibroblasts,Control,CTRL,Control
-0.1045380935101019,All fibroblasts,Control,CTRL,Control
-0.0004686090178357702,All fibroblasts,Control,CTRL,Control
-0.3119241140082579,All fibroblasts,Control,CTRL,Control
-0.052122831477072584,All fibroblasts,Control,CTRL,Control
-0.12227611534995365,All fibroblasts,Control,CTRL,Control
-0.007723359811889832,All fibroblasts,Control,CTRL,Control
-0.08758359985436501,All fibroblasts,Control,CTRL,Control
0.09951382407229531,All fibroblasts,Control,CTRL,Control
-0.09826631356795484,All fibroblasts,Control,CTRL,Control
0.04703894407467522,All fibroblasts,Control,CTRL,Control
-0.0551940577165249,All fibroblasts,Control,CTRL,Control
-0.17387390531090424,All fibroblasts,Control,CTRL,Control
-0.061459929509698814,All fibroblasts,Control,CTRL,Control
-0.09378766878066731,All fibroblasts,Control,CTRL,Control
-0.16935164810524037,All fibroblasts,Control,CTRL,Control
0.05423113253181398,All fibroblasts,Control,CTRL,Control
-0.050273014104636804,All fibroblasts,Control,CTRL,Control
