embryonic_score,celltype,condition,celltype_short
-0.1067283759549801,Fibroblast 2,Control,FIB2
-0.0291410072957552,Fibroblast 1,Control,FIB1
-0.09180578816489667,Fibroblast 2,Control,FIB2
0.0048242622526740876,Fibroblast 3,Control,FIB3
0.03371243042833306,Fibroblast 2,Control,FIB2
-0.20551249390711923,Fibroblast 2,Control,FIB2
-0.1299579260235575,Fibroblast 2,Control,FIB2
-0.07515261627427146,Fibroblast 1,Control,FIB1
-0.045997076199110656,Fibroblast 1,Control,FIB1
-0.04196689888286555,Fibroblast 3,Control,FIB3
-0.08631253812718398,Fibroblast 2,Control,FIB2
-0.12470815493809567,Fibroblast 3,Control,FIB3
-0.01055592126092324,Fibroblast 3,Control,FIB3
0.0023326065827156406,Fibroblast 1,Control,FIB1
-0.11381903608461816,Fibroblast 3,Control,FIB3
-0.09969626871077683,Fibroblast 3,Control,FIB3
-0.15780814610110203,Fibroblast 2,Control,FIB2
0.054646723474539215,Fibroblast 1,Control,FIB1
-0.09660095368101336,Fibroblast 3,Control,FIB3
-0.07794028294521568,Fibroblast 2,Control,FIB2
-0.007272991569093826,Fibroblast 3,Control,FIB3
-0.12523878454454315,Fibroblast 2,Control,FIB2
-0.07748245820485233,Fibroblast 3,Control,FIB3
0.0016293887502757112,Fibroblast 3,Control,FIB3
0.03666842040259376,Fibroblast 1,Control,FIB1
-0.10004861635084492,Fibroblast 3,Control,FIB3
0.017590153841800547,Fibroblast 1,Control,FIB1
-0.03398178633914012,Fibroblast 1,Control,FIB1
-0.07428178525868934,Fibroblast 2,Control,FIB2
-0.12098869633300155,Fibroblast 1,Control,FIB1
-0.03931081493138092,Fibroblast 2,Control,FIB2
-0.04651967602912556,Fibroblast 3,Control,FIB3
-0.06350531727111014,Fibroblast 1,Control,FIB1
-0.06930894954098077,Fibroblast 2,Control,FIB2
-0.1343795138615403,Fibroblast 3,Control,FIB3
-0.074233787771402,Fibroblast 1,Control,FIB1
-0.18122968889868393,Fibroblast 3,Control,FIB3
-0.011152725758287421,Fibroblast 1,Control,FIB1
-0.13311210160929535,Fibroblast 2,Control,FIB2
-0.06618089216935338,Fibroblast 2,Control,FIB2
0.062309932114145185,Fibroblast 1,Control,FIB1
-0.051426467738546436,Fibroblast 2,Control,FIB2
-0.07070468748345442,Fibroblast 1,Control,FIB1
-0.10802915744649279,Fibroblast 3,Control,FIB3
-0.01695242606769595,Fibroblast 3,Control,FIB3
-0.028160126668593737,Fibroblast 3,Control,FIB3
-0.08644045928126158,Fibroblast 3,Control,FIB3
-0.08967368065279624,Fibroblast 2,Control,FIB2
0.0010727211524230017,Fibroblast 3,Control,FIB3
-0.07597746863346246,Fibroblast 3,Control,FIB3
-0.05910727283748536,Fibroblast 2,Control,FIB2
-0.08028024045322536,Fibroblast 2,Control,FIB2
-0.10065089962747802,Fibroblast 2,Control,FIB2
-0.0011901449977079204,Fibroblast 3,Control,FIB3
-0.08770821748153751,Fibroblast 3,Control,FIB3
-0.080528217637364,Fibroblast 2,Control,FIB2
-0.06768894449506603,Fibroblast 1,Control,FIB1
-0.1413019799911941,Fibroblast 2,Control,FIB2
0.10335411944267095,Fibroblast 3,Control,FIB3
-0.09784417730576121,Fibroblast 3,Control,FIB3
0.02209836051339447,Fibroblast 1,Control,FIB1
-0.12119192549975905,Fibroblast 3,Control,FIB3
-0.1703487737286185,Fibroblast 2,Control,FIB2
-0.02152224876226294,Fibroblast 1,Control,FIB1
-0.11415238351249052,Fibroblast 3,Control,FIB3
-0.0749379057714948,Fibroblast 3,Control,FIB3
-0.12278002346020417,Fibroblast 2,Control,FIB2
-0.027816231803425854,Fibroblast 2,Control,FIB2
0.03658087308923427,Fibroblast 2,Control,FIB2
-0.06999265613066714,Fibroblast 3,Control,FIB3
-0.10783658813761336,Fibroblast 2,Control,FIB2
-0.09369219726175691,Fibroblast 2,Control,FIB2
-0.12912063365761567,Fibroblast 1,Control,FIB1
-0.15749651956027752,Fibroblast 1,Control,FIB1
-0.06576180999600736,Fibroblast 3,Control,FIB3
-0.11506332056581832,Fibroblast 2,Control,FIB2
-0.13008711518531757,Fibroblast 2,Control,FIB2
-0.043758298715905114,Fibroblast 2,Control,FIB2
-0.09348833587077583,Fibroblast 3,Control,FIB3
-0.12228810165857897,Fibroblast 2,Control,FIB2
-0.2098930718555772,Fibroblast 3,Control,FIB3
-0.06537089009025596,Fibroblast 3,Control,FIB3
-0.07702140943892002,Fibroblast 1,Control,FIB1
0.006205952183784297,Fibroblast 3,Control,FIB3
0.045855296505513655,Fibroblast 1,Control,FIB1
0.09227481124120752,Fibroblast 1,Control,FIB1
-0.11391768368136801,Fibroblast 2,Control,FIB2
-0.07130842513028916,Fibroblast 3,Control,FIB3
0.002601943970910574,Fibroblast 3,Control,FIB3
-0.06523970711469508,Fibroblast 3,Control,FIB3
-0.060258684694309915,Fibroblast 3,Control,FIB3
-0.1144879308887184,Fibroblast 2,Control,FIB2
-0.15885910364290587,Fibroblast 3,Control,FIB3
-0.09090678682632788,Fibroblast 2,Control,FIB2
-0.022525422665488237,Fibroblast 1,Control,FIB1
-0.08054602061968018,Fibroblast 3,Control,FIB3
-0.04434734378170305,Fibroblast 2,Control,FIB2
0.005313049280088813,Fibroblast 3,Control,FIB3
-0.09862506428622664,Fibroblast 2,Control,FIB2
0.006816026976930491,Fibroblast 2,Control,FIB2
-0.10556581503415949,Fibroblast 2,Control,FIB2
-0.05650703947513308,Fibroblast 3,Control,FIB3
-0.11279300551402979,Fibroblast 2,Control,FIB2
0.04645493859154658,Fibroblast 1,Control,FIB1
-0.03026607301034806,Fibroblast 2,Control,FIB2
-0.010308470930200677,Fibroblast 3,Control,FIB3
-0.07890929434428272,Fibroblast 2,Control,FIB2
0.13218208154535363,Fibroblast 1,Control,FIB1
