embryonic_score,celltype,condition,celltype_short
0.09927568140324002,Fibroblast 1,Control,FIB1
-0.16104341046042095,Fibroblast 2,Control,FIB2
0.06344139781648303,Fibroblast 1,Control,FIB1
-0.01114442726867726,Fibroblast 4,Control,FIB4
-0.039813605665174105,Fibroblast 3,Control,FIB3
-0.10268478186838381,Fibroblast 3,Control,FIB3
0.05040151932870327,Fibroblast 1,Control,FIB1
-0.013417826026486526,Fibroblast 3,Control,FIB3
0.09479966371055032,Fibroblast 3,Control,FIB3
0.03504080130588643,Fibroblast 4,Control,FIB4
-0.058242412621891795,Fibroblast 2,Control,FIB2
-0.04224652194233964,Fibroblast 2,Control,FIB2
-0.07279999981499333,Fibroblast 3,Control,FIB3
0.2023529972544765,Fibroblast 1,Control,FIB1
0.1209626102998955,Fibroblast 1,Control,FIB1
-0.04881651989185637,Fibroblast 1,Control,FIB1
0.11093017675571837,Fibroblast 3,Control,FIB3
-0.0695848778508169,Fibroblast 1,Control,FIB1
0.04297601885172854,Fibroblast 3,Control,FIB3
0.004046707963122016,Fibroblast 3,Control,FIB3
0.022067188875158975,Fibroblast 3,Control,FIB3
-0.03924655192068086,Fibroblast 2,Control,FIB2
0.04539898729462387,Fibroblast 2,Control,FIB2
0.021090271675624887,Fibroblast 2,Control,FIB2
0.007447798062540086,Fibroblast 2,Control,FIB2
0.0752700086393321,Fibroblast 1,Control,FIB1
0.11290057252824437,Fibroblast 1,Control,FIB1
0.15489256389893163,Fibroblast 4,Control,FIB4
-0.0959607870296747,Fibroblast 2,Control,FIB2
-0.003962814799189182,Fibroblast 1,Control,FIB1
-0.3337866640040726,Fibroblast 3,Control,FIB3
-0.22409727838329666,Fibroblast 2,Control,FIB2
0.07370136433687466,Fibroblast 3,Control,FIB3
0.03911049952728187,Fibroblast 1,Control,FIB1
-0.08417418424630836,Fibroblast 3,Control,FIB3
0.14368435842414579,Fibroblast 1,Control,FIB1
0.09850162851389786,Fibroblast 1,Control,FIB1
0.03856868504284085,Fibroblast 1,Control,FIB1
0.002381390607077028,Fibroblast 3,Control,FIB3
-0.0047485188894599096,Fibroblast 3,Control,FIB3
-0.14495838002833072,Fibroblast 2,Control,FIB2
-0.030591418917272826,Fibroblast 2,Control,FIB2
0.048119684671663394,Fibroblast 3,Control,FIB3
0.11261914431497179,Fibroblast 2,Control,FIB2
0.040289315732988766,Fibroblast 4,Control,FIB4
-0.15316093781371376,Fibroblast 2,Control,FIB2
0.042107503762279036,Fibroblast 2,Control,FIB2
0.023222381183215814,Fibroblast 3,Control,FIB3
-0.13120820052963847,Fibroblast 2,Control,FIB2
0.0062922339746619305,Fibroblast 2,Control,FIB2
0.07484555747454077,Fibroblast 3,Control,FIB3
0.1175287283904288,Fibroblast 1,Control,FIB1
0.28254646082869783,Fibroblast 4,Control,FIB4
0.04503859979694501,Fibroblast 4,Control,FIB4
0.11294085868189249,Fibroblast 4,Control,FIB4
-0.04990381171893838,Fibroblast 2,Control,FIB2
-0.10810642778369443,Fibroblast 3,Control,FIB3
-0.06370712227096008,Fibroblast 2,Control,FIB2
-0.012076345240574425,Fibroblast 2,Control,FIB2
-0.02478205182803968,Fibroblast 2,Control,FIB2
-0.016593496758001716,Fibroblast 3,Control,FIB3
-0.011960076033298779,Fibroblast 3,Control,FIB3
-0.008619547894221424,Fibroblast 2,Control,FIB2
0.03244075442341614,Fibroblast 3,Control,FIB3
-0.05073734380870398,Fibroblast 3,Control,FIB3
0.06663090518131244,Fibroblast 1,Control,FIB1
0.07297202474140567,Fibroblast 4,Control,FIB4
0.04384590077902824,Fibroblast 3,Control,FIB3
-0.05238698085480306,Fibroblast 1,Control,FIB1
-0.07956807605864918,Fibroblast 2,Control,FIB2
0.014362687043951463,Fibroblast 1,Control,FIB1
-0.0433344208903814,Fibroblast 3,Control,FIB3
-0.06564505088104863,Fibroblast 3,Control,FIB3
-0.001143359452376716,Fibroblast 2,Control,FIB2
-0.0632189894657888,Fibroblast 1,Control,FIB1
0.001727349738280419,Fibroblast 3,Control,FIB3
-0.10748516929971777,Fibroblast 1,Control,FIB1
-0.010622534826156396,Fibroblast 3,Control,FIB3
-0.027432463599992928,Fibroblast 3,Control,FIB3
-0.03603750849402604,Fibroblast 3,Control,FIB3
-0.1291602838015993,Fibroblast 2,Control,FIB2
-0.08172688424101515,Fibroblast 3,Control,FIB3
0.044839681556310566,Fibroblast 2,Control,FIB2
0.029779933041371144,Fibroblast 4,Control,FIB4
0.04917024841120106,Fibroblast 4,Control,FIB4
-0.008546821621835631,Fibroblast 1,Control,FIB1
-0.0031142091461684868,Fibroblast 2,Control,FIB2
0.02138435009113043,Fibroblast 1,Control,FIB1
-0.0714627764512579,Fibroblast 3,Control,FIB3
0.11014094419437422,Fibroblast 1,Control,FIB1
0.04000474521278488,Fibroblast 1,Control,FIB1
0.09190316899101954,Fibroblast 2,Control,FIB2
-0.08419224937206936,Fibroblast 3,Control,FIB3
0.06423204194412092,Fibroblast 1,Control,FIB1
0.16790734462549087,Fibroblast 1,Control,FIB1
-0.11213636461512705,Fibroblast 2,Control,FIB2
-0.06665077477872279,Fibroblast 3,Control,FIB3
0.14769388389066235,Fibroblast 2,Control,FIB2
-0.04725700322143188,Fibroblast 3,Control,FIB3
0.09399209724932117,Fibroblast 3,Control,FIB3
-0.041650982707481965,Fibroblast 3,Control,FIB3
0.05311008045926709,Fibroblast 3,Control,FIB3
-0.045572023619882156,Fibroblast 2,Control,FIB2
-0.01998087988971676,Fibroblast 2,Control,FIB2
-0.015059063964518771,Fibroblast 2,Control,FIB2
-0.03752875227046452,Fibroblast 2,Control,FIB2
-0.10489911997557526,Fibroblast 2,Control,FIB2
0.1398767541667962,Fibroblast 2,Control,FIB2
-0.12743314707914374,Fibroblast 2,Control,FIB2
-0.060506433327922174,Fibroblast 3,Control,FIB3
0.007353926937034754,Fibroblast 1,Control,FIB1
0.053677243810314273,Fibroblast 2,Control,FIB2
-0.0029631963540208755,Fibroblast 3,Control,FIB3
-0.04869908681831487,Fibroblast 3,Control,FIB3
0.015154790763306404,Fibroblast 3,Control,FIB3
0.08799071176011451,Fibroblast 2,Control,FIB2
-0.09769984023331812,Fibroblast 3,Control,FIB3
0.05616884600428349,Fibroblast 4,Control,FIB4
-0.03238040133653196,Fibroblast 3,Control,FIB3
