"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051346","negative regulation of hydrolase activity","13/512","366/28943",0.0141426466108225,0.0984804806123577,0.0800789533371618,"Mastl/Slpi/Cd44/Gchfr/Timp1/Ptx3/Ecm1/Dhcr24/Hgf/Serpine1/Il6/Birc5/Spink10",13
"GO:2000181","negative regulation of blood vessel morphogenesis","6/512","111/28943",0.0141802908970327,0.0985620950466514,0.0801453177419128,"E2f2/Flt1/Cxcl10/Serpine1/Ccl2/Tafa5",6
"GO:0072528","pyrimidine-containing compound biosynthetic process","3/512","29/28943",0.0142946821084396,0.099175878423882,0.0806444128937516,"Dut/Cda/Tyms",3
"GO:0032102","negative regulation of response to external stimulus","14/512","407/28943",0.0143884916210145,0.0996448909710328,0.0810257883058565,"Cd44/Grem1/Smpdl3b/Hgf/Slit2/Serpine1/Siglecg/Spn/Nr1h4/Enpp3/Pbk/Cck/Ccl2/Tafa5",14
"GO:1901343","negative regulation of vasculature development","6/512","112/28943",0.0147664122414179,0.101483896914457,0.0825211675953816,"E2f2/Flt1/Cxcl10/Serpine1/Ccl2/Tafa5",6
"GO:0031032","actomyosin structure organization","9/512","215/28943",0.0148080444646421,0.101483896914457,0.0825211675953816,"Tmeff2/Ect2/S1pr1/Stmn1/Cit/Csrp2/Anln/Arhgef15/Racgap1",9
"GO:1903320","regulation of protein modification by small protein conjugation or removal","10/512","252/28943",0.0148279386809324,0.101483896914457,0.0825211675953816,"Mastl/Bub1b/Cdc20/Mad2l1/Fanci/Ube2s/Plk1/Fbxo5/Ttc36/Brca1",10
"GO:0046942","carboxylic acid transport","11/512","290/28943",0.0148470632034656,0.101483896914457,0.0825211675953816,"Rgs4/Acsl4/P2rx7/Slco1a5/Stard10/Nr1h4/Slc7a8/Cck/Slc16a11/Map2k6/Syk",11
"GO:0050670","regulation of lymphocyte proliferation","10/512","253/28943",0.0152034822990775,0.101483896914457,0.0825211675953816,"Inpp5d/Cd44/Il6/Siglecg/Blm/Spn/Ripk3/Atad5/Ripor2/Syk",10
"GO:1902807","negative regulation of cell cycle G1/S phase transition","5/512","82/28943",0.0152203940161289,0.101483896914457,0.0825211675953816,"Rbl1/Rpa2/E2f7/Haspin/Ccl2",5
"GO:0061647","histone H3-K9 modification","4/512","54/28943",0.0152521484250338,0.101483896914457,0.0825211675953816,"Suv39h2/Chek1/Dnmt1/Brca1",4
